log10_c1,log10_c2,log10_S0,log10_sigma,startguess
-1.2599999999999998,-0.54,-1.5,-1.38,1
-0.6600000000000001,-2.58,2.0999999999999996,1.9800000000000004,2
0.54,2.58,2.34,2.8200000000000003,3
-1.02,-0.8999999999999999,1.9800000000000004,0.6600000000000001,4
-1.98,-0.06000000000000005,2.46,-2.46,5
1.5,2.7,2.8200000000000003,-1.8599999999999999,6
-2.2199999999999998,-2.82,-0.06000000000000005,0.7800000000000002,7
-1.6199999999999999,0.4200000000000004,-2.82,-0.06000000000000005,8
1.8600000000000003,-0.17999999999999972,0.54,1.7400000000000002,9
2.58,1.1400000000000006,0.06000000000000005,2.9399999999999995,10
-1.38,2.46,-1.6199999999999999,-1.6199999999999999,11
0.7800000000000002,-1.6199999999999999,0.6600000000000001,-0.6600000000000001,12
2.0999999999999996,0.7800000000000002,1.0200000000000005,2.0999999999999996,13
2.9399999999999995,-1.8599999999999999,2.9399999999999995,1.2600000000000007,14
0.9000000000000004,0.54,-2.0999999999999996,-2.82,15
2.8200000000000003,0.18000000000000016,-1.1400000000000001,2.58,16
0.06000000000000005,-1.7399999999999998,2.58,-1.1400000000000001,17
2.34,1.2600000000000007,0.4200000000000004,-2.34,18
2.2199999999999998,0.6600000000000001,-0.54,-2.2199999999999998,19
1.62,-2.34,-0.17999999999999972,2.7,20
1.38,2.2199999999999998,1.1400000000000006,-2.0999999999999996,21
-0.41999999999999993,-1.1400000000000001,-2.46,1.8600000000000003,22
-0.17999999999999972,-0.6600000000000001,0.9000000000000004,1.62,23
-1.5,1.7400000000000002,-1.2599999999999998,1.38,24
-2.34,-1.2599999999999998,-1.38,-0.41999999999999993,25
-2.94,-0.2999999999999998,1.7400000000000002,0.06000000000000005,26
0.6600000000000001,0.06000000000000005,-1.98,-0.54,27
-2.46,0.9000000000000004,1.5,-0.7800000000000002,28
-0.06000000000000005,-1.98,-1.7399999999999998,-2.7,29
-0.8999999999999999,-2.7,2.2199999999999998,2.46,30
0.18000000000000016,1.5,1.2600000000000007,-0.2999999999999998,31
1.7400000000000002,2.9399999999999995,-2.58,1.5,32
-0.54,1.0200000000000005,-0.2999999999999998,2.34,33
-0.7800000000000002,-0.7800000000000002,-2.2199999999999998,0.4200000000000004,34
1.1400000000000006,2.0999999999999996,-2.7,1.0200000000000005,35
1.2600000000000007,1.62,-2.34,-0.17999999999999972,36
-1.8599999999999999,-1.02,0.7800000000000002,-0.8999999999999999,37
0.30000000000000027,-0.41999999999999993,0.18000000000000016,-1.7399999999999998,38
-2.82,-2.2199999999999998,1.8600000000000003,-1.5,39
2.46,1.9800000000000004,2.7,-1.02,40
-0.2999999999999998,-2.0999999999999996,1.62,0.30000000000000027,41
2.7,1.8600000000000003,-0.7800000000000002,0.18000000000000016,42
-1.7399999999999998,-2.46,-0.6600000000000001,-1.2599999999999998,43
1.9800000000000004,-1.5,-2.94,-2.58,44
0.4200000000000004,-2.94,-1.8599999999999999,-2.94,45
-2.7,0.30000000000000027,-0.41999999999999993,0.54,46
-1.1400000000000001,2.34,1.38,1.1400000000000006,47
1.0200000000000005,2.8200000000000003,-1.02,2.2199999999999998,48
-2.58,-1.38,-0.8999999999999999,0.9000000000000004,49
-2.0999999999999996,1.38,0.30000000000000027,-1.98,50
