observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters
observable_CIS_abs		model1_data2	29.061794973113646	120.0		sd_CIS_abs
observable_CIS_abs		model1_data2	26.097567191289983	120.0		sd_CIS_abs
observable_CIS_abs		model1_data2	19.65239347179184	120.0		sd_CIS_abs
observable_CIS_au		model1_data1	0.017007483828788285	0.0	offset_CIS_long;scale_CIS_long	sd_CIS_au
observable_CIS_au		model1_data1	0.038819328188923134	5.0	offset_CIS_long;scale_CIS_long	sd_CIS_au
observable_CIS_au		model1_data1	0.021343795504749925	10.0	offset_CIS_long;scale_CIS_long	sd_CIS_au
observable_CIS_au		model1_data1	0.03708581390971887	20.0	offset_CIS_long;scale_CIS_long	sd_CIS_au
observable_CIS_au		model1_data1	0.12873027508395155	40.0	offset_CIS_long;scale_CIS_long	sd_CIS_au
observable_CIS_au		model1_data1	0.28249348693920795	60.0	offset_CIS_long;scale_CIS_long	sd_CIS_au
observable_CIS_au		model1_data1	0.8208313934483058	80.0	offset_CIS_long;scale_CIS_long	sd_CIS_au
observable_CIS_au		model1_data1	0.9222593139245774	100.0	offset_CIS_long;scale_CIS_long	sd_CIS_au
observable_CIS_au		model1_data1	0.7730953630969482	140.0	offset_CIS_long;scale_CIS_long	sd_CIS_au
observable_CIS_au		model1_data1	0.7515576864023135	160.0	offset_CIS_long;scale_CIS_long	sd_CIS_au
observable_CIS_au		model1_data1	0.9511272795712759	180.0	offset_CIS_long;scale_CIS_long	sd_CIS_au
observable_CIS_au		model1_data1	0.911414943883666	220.0	offset_CIS_long;scale_CIS_long	sd_CIS_au
observable_CIS_au		model1_data1	1.0	240.0	offset_CIS_long;scale_CIS_long	sd_CIS_au
observable_CIS_au		model1_data11	0.17917424242424246	0.0	offset_CIS_socs3oe;scale_CIS_socs3oe	sd_CIS_au
observable_CIS_au		model1_data11	0.13615151515151516	10.0	offset_CIS_socs3oe;scale_CIS_socs3oe	sd_CIS_au
observable_CIS_au		model1_data11	1.0	60.0	offset_CIS_socs3oe;scale_CIS_socs3oe	sd_CIS_au
observable_CIS_au		model1_data11	0.9696969696969686	120.0	offset_CIS_socs3oe;scale_CIS_socs3oe	sd_CIS_au
observable_CIS_au		model1_data12	0.0694242424242424	0.0	offset_CIS_socs3oe;scale_CIS_socs3oe	sd_CIS_au
observable_CIS_au		model1_data12	0.07825000000000071	10.0	offset_CIS_socs3oe;scale_CIS_socs3oe	sd_CIS_au
observable_CIS_au		model1_data12	0.07896212121212068	60.0	offset_CIS_socs3oe;scale_CIS_socs3oe	sd_CIS_au
observable_CIS_au		model1_data12	0.056575757575757474	120.0	offset_CIS_socs3oe;scale_CIS_socs3oe	sd_CIS_au
observable_CIS_au		model1_data13	0.07179352226720577	0.0	offset_CIS_shp1oe;scale_CIS_shp1oe	sd_CIS_au
observable_CIS_au		model1_data13	0.06228744939271234	5.0	offset_CIS_shp1oe;scale_CIS_shp1oe	sd_CIS_au
observable_CIS_au		model1_data13	0.07286234817813737	10.0	offset_CIS_shp1oe;scale_CIS_shp1oe	sd_CIS_au
observable_CIS_au		model1_data13	0.1342307692307693	30.0	offset_CIS_shp1oe;scale_CIS_shp1oe	sd_CIS_au
observable_CIS_au		model1_data13	1.0	60.0	offset_CIS_shp1oe;scale_CIS_shp1oe	sd_CIS_au
observable_CIS_au		model1_data14	0.05112550607287402	0.0	offset_CIS_shp1oe;scale_CIS_shp1oe	sd_CIS_au
observable_CIS_au		model1_data14	0.043076923076922735	5.0	offset_CIS_shp1oe;scale_CIS_shp1oe	sd_CIS_au
observable_CIS_au		model1_data14	0.04610931174089071	10.0	offset_CIS_shp1oe;scale_CIS_shp1oe	sd_CIS_au
observable_CIS_au		model1_data14	0.15773684210526318	30.0	offset_CIS_shp1oe;scale_CIS_shp1oe	sd_CIS_au
observable_CIS_au		model1_data14	0.7489878542510121	60.0	offset_CIS_shp1oe;scale_CIS_shp1oe	sd_CIS_au
observable_CIS_au		model1_data4	0.013227703984819716	0.0	offset_CIS_actd;scale_CIS_actd	sd_CIS_au
observable_CIS_au		model1_data4	0.009360531309297813	5.0	offset_CIS_actd;scale_CIS_actd	sd_CIS_au
observable_CIS_au		model1_data4	0.008916508538899528	10.0	offset_CIS_actd;scale_CIS_actd	sd_CIS_au
observable_CIS_au		model1_data4	0.02797722960151796	30.0	offset_CIS_actd;scale_CIS_actd	sd_CIS_au
observable_CIS_au		model1_data4	0.30740037950664106	60.0	offset_CIS_actd;scale_CIS_actd	sd_CIS_au
observable_CIS_au		model1_data4	0.5578747628083496	90.0	offset_CIS_actd;scale_CIS_actd	sd_CIS_au
observable_CIS_au		model1_data4	0.8368121442125238	120.0	offset_CIS_actd;scale_CIS_actd	sd_CIS_au
observable_CIS_au		model1_data4	0.8595825426944966	150.0	offset_CIS_actd;scale_CIS_actd	sd_CIS_au
observable_CIS_au		model1_data4	1.0	180.0	offset_CIS_actd;scale_CIS_actd	sd_CIS_au
observable_CIS_au		model1_data5	0.013948766603415394	0.0	offset_CIS_actd;scale_CIS_actd	sd_CIS_au
observable_CIS_au		model1_data5	0.007950664136622418	5.0	offset_CIS_actd;scale_CIS_actd	sd_CIS_au
observable_CIS_au		model1_data5	0.010045540796963879	10.0	offset_CIS_actd;scale_CIS_actd	sd_CIS_au
observable_CIS_au		model1_data5	0.020216318785578547	30.0	offset_CIS_actd;scale_CIS_actd	sd_CIS_au
observable_CIS_au		model1_data5	0.0060398481973435	60.0	offset_CIS_actd;scale_CIS_actd	sd_CIS_au
observable_CIS_au		model1_data5	0.007544592030360544	90.0	offset_CIS_actd;scale_CIS_actd	sd_CIS_au
observable_CIS_au		model1_data5	0.004163187855787515	120.0	offset_CIS_actd;scale_CIS_actd	sd_CIS_au
observable_CIS_au		model1_data5	0.012578747628083382	150.0	offset_CIS_actd;scale_CIS_actd	sd_CIS_au
observable_CIS_au		model1_data5	0.007963946869070143	180.0	offset_CIS_actd;scale_CIS_actd	sd_CIS_au
observable_CIS_au		model1_data7	0.028804587155963037	0.0	offset_CIS_cisoe;scale_CIS_cisoe	sd_CIS_au
observable_CIS_au		model1_data7	0.02606422018348611	10.0	offset_CIS_cisoe;scale_CIS_cisoe	sd_CIS_au
observable_CIS_au		model1_data7	0.10183486238532116	60.0	offset_CIS_cisoe;scale_CIS_cisoe	sd_CIS_au
observable_CIS_au		model1_data7	0.07531926605504577	120.0	offset_CIS_cisoe;scale_CIS_cisoe	sd_CIS_au
observable_CIS_au		model1_data8	1.0	0.0	offset_CIS_cisoe;scale_CIS_cisoe	sd_CIS_au
observable_CIS_au		model1_data8	0.7027522935779812	10.0	offset_CIS_cisoe;scale_CIS_cisoe	sd_CIS_au
observable_CIS_au		model1_data8	0.7449541284403675	60.0	offset_CIS_cisoe;scale_CIS_cisoe	sd_CIS_au
observable_CIS_au		model1_data8	0.6605504587155966	120.0	offset_CIS_cisoe;scale_CIS_cisoe	sd_CIS_au
observable_CIS_au1		model1_data38	0.7921552169018568	90.0	scale1_CIS_dr90	sd_CIS_au
observable_CIS_au1		model1_data38	0.9701469685365128	90.0	scale1_CIS_dr90	sd_CIS_au
observable_CIS_au1		model1_data38	0.9068891285355956	90.0	scale1_CIS_dr90	sd_CIS_au
observable_CIS_au1		model1_data39	0.7299144021323482	90.0	scale1_CIS_dr90	sd_CIS_au
observable_CIS_au1		model1_data39	0.8860003931281197	90.0	scale1_CIS_dr90	sd_CIS_au
observable_CIS_au1		model1_data39	1.0	90.0	scale1_CIS_dr90	sd_CIS_au
observable_CIS_au1		model1_data40	0.9709111639445238	90.0	scale1_CIS_dr90	sd_CIS_au
observable_CIS_au1		model1_data40	0.9999714851665992	90.0	scale1_CIS_dr90	sd_CIS_au
observable_CIS_au1		model1_data40	0.8536074250141366	90.0	scale1_CIS_dr90	sd_CIS_au
