Epo_degradation_BaF3,k_exp_hetero,k_exp_homo,k_imp_hetero,k_imp_homo,k_phos,sd_pSTAT5A_rel,sd_pSTAT5B_rel,sd_rSTAT5A_rel,Start_guess
-1.5031825264458343,-3.356359931537915,4.999999993138904,-1.7779233159890273,-1.758646672920355,3.981993307573098,0.63201600082532,0.7893288881939944,0.7347891457129588,1
-1.503182526247257,-3.356359940614481,4.999999855168935,-1.77792331602856,-1.758646673712037,3.981993307567853,0.6320160009675034,0.7893288883829831,0.7347891462966476,2
-1.8072404898599421,-0.49754467158339194,1.4258754963749176,-0.04136089301360731,-0.5748386916551553,4.999999996635779,1.140972820486946,1.2490310249441055,0.938961328106266,3
-1.4635338311095467,-2.6635525950932157,-2.766788376026957,4.999999810206115,-1.90123530568991,4.380889121251299,0.5327020470967563,0.8655040636032822,1.2161549179491082,4
-1.6185728660451915,4.999999824253576,0.06610595801642485,-1.5880069047975323,4.999999881380138,4.135928229087393,0.930869362523564,0.695956258483486,0.5847858685363042,5
-1.618573028435287,4.999990928129669,0.06610213745220136,-1.588006905473018,4.999999568446489,4.1359280284982,0.9308697641034412,0.6959558502737093,0.584785782108578,6
-1.6185728887144506,4.9999991743401555,0.06610553578359891,-1.5880069446907572,4.999999789310633,4.135928184467686,0.9308694604173117,0.6959561968326371,0.5847858564232917,7
-1.5031825263416647,-3.3563599312283836,4.999999930392219,-1.7779233160289192,-1.7586466729773924,3.9819933076637035,0.6320160009666902,0.7893288884963501,0.7347891457528519,8
-1.6486389626685756,-0.7658735796894405,0.078258019463049,-1.57688781901845,4.999999999935235,4.113749437059016,0.976651254165942,0.6586279700413998,0.5744594791735536,9
-1.4382370136762126,4.999999992373841,4.999999999636297,-1.8173177794362703,-1.8595328564728355,4.006001860984357,0.6721873399397226,0.8633642418760504,0.9263766659783725,10
