Epo_degradation_BaF3,k_exp_hetero,k_exp_homo,k_imp_hetero,k_imp_homo,k_phos,sd_pSTAT5A_rel,sd_pSTAT5B_rel,sd_rSTAT5A_rel,f_trace,Start_guess
2.0,2.666666666666666,4.666666666666666,0.6666666666666661,-3.3333333333333335,0.6666666666666661,2.0,-4.666666666666667,3.333333333333334,5.673662743623769e13,1
0.5452317701592413,1.181084198455186,4.3452098178939025,0.02328915761373429,-2.0514240976992437,0.033406464975538896,0.5517241393922707,-4.449033423718388,2.0512820511250123,2.082540548334298e13,1
0.49403817623993324,1.056779688433173,3.679015331602521,0.021319863413044395,-1.809884431722366,0.02994852772702574,0.499283565102943,-4.271385278184338,1.8084998032137798,9.189621385626693e12,1
0.33436300569078853,0.6783388812529452,2.0360617766244267,0.014610310876465006,-1.117314949119574,0.01485549923770933,0.3318392249631038,-4.053916644697667,1.1121256348668167,3.3756889227216016e12,1
0.24894058683537576,0.4979368349221408,1.4945776895132936,0.010562841638214889,-0.818979446356349,0.007261377733105671,0.24360302969581998,-3.8412393301617223,0.8163594356178507,1.2676767694076606e12,1
0.16375966389962582,0.32065308325119823,0.9624532960851291,0.006533351930000335,-0.5243558222790873,0.0009874404682057008,0.15695298374927136,-3.623951901549748,0.5257062275292066,4.6605180327821014e11,1
0.12108298129233994,0.23524859570852946,0.7061082512225845,0.004613684235407673,-0.383401747442922,-0.000321213885453674,0.11544014580067828,-3.406792311184973,0.38569187499458807,1.714412032430901e11,1
0.07596047298616165,0.14578987518282038,0.4375942604740576,0.0025643865717798423,-0.23616715137557237,-0.0012664196532015154,0.07286945400010901,-3.1895851489253895,0.23906131756398355,6.305233078992472e10,1
0.05685102373074474,0.10869334036871618,0.326247498997284,0.0017742549099607969,-0.17564250182510802,-0.0012153488597055524,0.058121713951873426,-2.9724224244413318,0.17838114922091858,2.319402726685357e10,1
0.03474857447922672,0.06588007209323335,0.19774172887243288,0.0008331876157117423,-0.10580185985002383,-0.0011055237299564542,0.050684105678405464,-2.755245903179193,0.10892189662501019,8.531479955068713e9,1
0.026156915350886746,0.04945761041470956,0.14844904081369797,0.0005319716747997074,-0.07921573291563014,-0.0009249746515770401,0.07323036993946955,-2.5380886291219205,0.08414265688244948,3.138431347499483e9,1
0.01578765868991991,0.02964639654139588,0.08898487901356952,0.0001482526645853533,-0.047117166062222805,-0.000703055947851867,0.14128805264295838,-2.32092585482257,0.06103770791593647,1.1544949218980215e9,1
0.011919290112849486,0.022332555991026577,0.06703210119231717,5.156608280080438e-5,-0.035375596568987984,-0.0005690089210906562,0.24331157745082377,-2.103773072117011,0.07131756610055431,4.2471147500014555e8,1
0.007141398289301439,0.013296352952226089,0.03990961056357248,-8.133302276445229e-5,-0.020847178754425308,-0.0004062586600202012,0.3813662376107972,-1.8866175666379554,0.12143969445152072,1.5623999413574594e8,1
0.005401616982905403,0.010037536536274174,0.03012820149690322,-9.905269123037077e-5,-0.015670366053422636,-0.0003248041255584088,0.5346897868264274,-1.6694675998846333,0.21023084714474305,5.747827600573101e7,1
0.003219097548486018,0.00594590369071952,0.017847095486544867,-0.00012992368591494515,-0.009155689940720774,-0.0002256031956868099,0.7014402981591592,-1.4523161984191482,0.3400520695749879,2.1145279966131546e7,1
0.0024370790273253477,0.004494787100239487,0.013491616432616859,-0.00012168941045655003,-0.0068825028793706375,-0.00017905638531721813,0.8772895580616001,-1.235167959175689,0.4862858858630884,7.779145861454584e6,1
0.0014452022733300407,0.002651873294661761,0.007960176796980929,-0.0001166791271021735,-0.0039860544115153905,-0.00012208352959793074,1.0571792011284733,-1.0180190766768784,0.6463642061036673,2.8619088443065244e6,1
0.0010930500282765403,0.002006108701974487,0.006022060267823478,-0.00010338539362856449,-0.002993586590782121,-9.56606447398618e-5,1.2415130963272523,-0.8008723130354877,0.8121105147642498,1.0529408739825466e6,1
0.0006423025151064082,0.001180123661874237,0.0035431709962712343,-9.04841384360058e-5,-0.0017186981049468735,-6.243690092314773e-5,1.421588585471443,-0.5837261826122413,0.9731270818186653,387453.09364361747,1
0.00047943906344259765,0.000892729957896448,0.002681184140591872,-8.152589828585666e-5,-0.00128973581363322,-4.479068266456157e-5,1.593031628210305,-0.3665838262132671,1.1192886915933369,142639.59376853838,1
0.00025714982681407405,0.0005238904741686526,0.0015763018598037423,-8.15062240293689e-5,-0.0007406682102682654,-1.3244779124585605e-5,1.734831687098151,-0.14944898302253729,1.225478333868339,52585.724753610804,1
0.00013992145771113873,0.00039503071369367327,0.0011948061891009936,-0.00010444049616709479,-0.0005702447135242058,2.6539879452225513e-5,1.8288012398810127,0.06766443573109457,1.281025457504017,19463.856783337895,1
-0.00017974014697529138,0.00022720126699213867,0.0007121811815179798,-0.00024832229707463663,-0.00040705159403897135,0.00019760044624155906,1.864006995192463,0.28472098722852024,1.294957278834109,7284.677087354454,1
-0.0007266025866938036,0.00015992643818247128,0.0005626443861587091,-0.0005952840900587141,-0.0004950167846160345,0.0005623328806229662,1.8712211603809978,0.5016226504609771,1.298005305636401,2809.3115247793335,1
-0.0038385185559860783,4.45547508860065e-5,0.00043019105470635643,-0.0025883133853071495,-0.0014564133301313478,0.002778749986242626,1.8721233746301709,0.7181044843124951,1.2985207076302352,1167.9515663600419,1
-0.010550733123775314,-8.976624109207348e-5,0.0005721377791081065,-0.007053100531098432,-0.00366493381642257,0.0075817941623021745,1.87252937785267,0.9334498309902161,1.2987799332819963,569.1341739175978,1
-0.16498454649311317,-0.0008714401915034881,0.001969555446675545,-0.10035445828335937,-0.06176418853166225,0.12524058371350372,1.8726054613143288,1.1457406679611966,1.298828902200693,353.76392000261967,1
-0.3899081716082683,-0.0037514980712273333,0.007669977562490739,-0.47734186449734106,-0.18653034437928462,0.07948224756902131,1.8726418526878017,1.3499800359050282,1.2988535844152322,279.2362028347421,1
-0.870430942126881,-0.021084031641619472,0.038512185588350345,-0.04509311578007147,-0.2529677801224236,0.1810239851353124,1.8726417648526317,1.5340665565685587,1.2988564837529843,255.97924522137342,1
-0.7560730342527104,-0.09649744409989897,0.09931046917587794,-0.088723339446617,-0.22748197044264654,0.596631763486505,1.8726311546721044,1.6740372197972053,1.2988558102150203,250.43950065115928,1
-0.7300976695832991,-0.15503230944399998,0.16639102558190558,-0.02221937004302775,-0.10672117793721059,1.1041075772411189,1.8725940512359502,1.7441413996888793,1.2988456240848993,249.75922059319356,1
-0.7232714340234496,-0.15792361622076817,0.1714465026875729,-0.01212960813203203,-0.0881089406907714,1.5535995969716718,1.8724892952352161,1.7581858708532818,1.2988154355281354,249.73221169416624,1
-0.7161681718201395,-0.16059168555550088,0.16720239790920105,-0.011877920243083057,-0.08617439827621957,1.9985690644281722,1.872196972354425,1.7585642593049096,1.298732841858732,249.70845350587834,1
-0.6972528720258606,-0.1682109870836276,0.1550422711030307,-0.01210328473950657,-0.08240885094538658,2.461371823365597,1.8713939595384803,1.7582961587774475,1.2985061651107936,249.64367762518725,1
