fmin,alg,runtime,niterations,converged,startguess
75.80739771977622,Optim_IPNewton,0.7876620292663574,35,true,1
75.80739771648584,Optim_IPNewton,0.40606188774108887,25,true,3
75.80739771648598,Optim_IPNewton,0.2590498924255371,20,true,4
75.80739771919939,Optim_IPNewton,0.7563760280609131,23,true,2
75.80739771648581,Optim_IPNewton,0.3265810012817383,38,true,5
75.80739771648625,Optim_IPNewton,0.4268920421600342,33,true,6
75.80739771879423,Optim_IPNewton,0.23336291313171387,27,true,7
75.8073977193632,Optim_IPNewton,0.21647906303405762,27,true,8
315.8977660945787,Optim_IPNewton,0.6164078712463379,26,true,10
75.8073977197521,Optim_IPNewton,0.34702301025390625,43,true,11
75.80739771648592,Optim_IPNewton,1.3434200286865234,46,true,9
75.8073977169752,Optim_IPNewton,0.32062506675720215,34,true,12
75.80739771648594,Optim_IPNewton,0.5835371017456055,32,true,13
75.8073977164858,Optim_IPNewton,0.5889339447021484,31,true,14
75.80739771682218,Optim_IPNewton,0.37827014923095703,44,true,15
75.80739771839909,Optim_IPNewton,0.3175828456878662,36,true,16
75.80739771907102,Optim_IPNewton,0.28372788429260254,39,true,18
75.80739771648602,Optim_IPNewton,0.4464569091796875,32,true,17
75.8073977176997,Optim_IPNewton,0.29999685287475586,43,true,19
75.80739771924968,Optim_IPNewton,0.2620880603790283,30,true,20
75.80739772027009,Optim_IPNewton,0.2746298313140869,34,true,22
75.80739771674075,Optim_IPNewton,0.37111997604370117,38,true,21
75.8073977168529,Optim_IPNewton,0.22691893577575684,23,true,23
75.80739771648607,Optim_IPNewton,0.26728200912475586,24,true,24
75.80739771789811,Optim_IPNewton,0.2800469398498535,36,true,25
75.80739771955943,Optim_IPNewton,0.2322402000427246,30,true,26
75.80739771648602,Optim_IPNewton,0.3049459457397461,32,true,28
75.80739771648611,Optim_IPNewton,0.3365788459777832,32,true,27
75.80739771648618,Optim_IPNewton,0.29002809524536133,26,true,30
75.80739771825604,Optim_IPNewton,0.3233950138092041,48,true,29
75.80739771648597,Optim_IPNewton,0.3070650100708008,30,true,31
75.8073977164858,Optim_IPNewton,0.324786901473999,29,true,32
75.80739771648624,Optim_IPNewton,0.26441407203674316,23,true,33
75.807397716486,Optim_IPNewton,0.3089599609375,31,true,34
75.80739772909965,Optim_IPNewton,0.23020601272583008,27,true,36
75.80739771836961,Optim_IPNewton,0.36514902114868164,40,true,35
75.80739771648587,Optim_IPNewton,0.3366971015930176,34,true,37
75.8073977180074,Optim_IPNewton,0.32763099670410156,42,true,38
75.80739771874063,Optim_IPNewton,0.2602529525756836,36,true,39
75.80739771648607,Optim_IPNewton,0.364530086517334,27,true,41
75.80739771648605,Optim_IPNewton,0.6054811477661133,37,true,40
75.80739771767927,Optim_IPNewton,0.297666072845459,32,true,42
75.80739771810983,Optim_IPNewton,0.28476881980895996,38,true,43
75.80739771821231,Optim_IPNewton,0.33565592765808105,51,true,44
75.80739771962693,Optim_IPNewton,0.347714900970459,56,true,45
75.8073977165297,Optim_IPNewton,0.3093221187591553,30,true,46
75.80739771648592,Optim_IPNewton,0.3776991367340088,31,true,47
75.80739771648608,Optim_IPNewton,0.3622431755065918,26,true,48
75.80739771658882,Optim_IPNewton,0.25206708908081055,26,true,49
75.80739771648601,Optim_IPNewton,0.4045991897583008,43,true,50
